No,anim,day,time
1,raccoon,2023/6/12,14:01:37
1,raccoon,2023/6/16,20:11:40
1,raccoon,2023/6/26,12:13:29
1,raccoon,2023/7/4,20:53:51
1,raccoon,2023/7/5,22:36:48
1,raccoon,2023/7/18,13:40:38
1,raccoon,2023/7/22,12:32:19
1,raccoon,2023/7/23,15:08:56
1,raccoon,2023/7/27,11:07:37
1,rdog,2023/7/29,8:56:03
1,raccoon,2023/9/22,22:18:49
2,fox,2023/6/15,13:03:46
2,fox,2023/6/18,9:45:16
2,raccoon,2023/6/23,19:50:04
2,raccoon,2023/6/24,16:56:04
2,raccoon,2023/6/26,17:03:45
2,raccoon,2023/7/10,15:56:37
2,raccoon,2023/7/11,20:15:50
2,raccoon,2023/7/17,21:45:28
2,raccoon,2023/7/20,21:14:13
2,rdog,2023/7/23,11:16:11
2,rdog,2023/7/23,11:16:11
2,rdog,2023/7/27,22:43:53
2,rdog,2023/7/31,23:00:49
2,raccoon,2023/8/3,3:07:38
2,rdog,2023/8/3,22:57:56
2,fox,2023/8/4,2:53:59
2,rdog,2023/8/5,19:09:44
2,rdog,2023/8/14,20:16:56
2,raccoon,2023/8/16,12:25:32
2,raccoon,2023/8/18,18:58:26
2,rdog,2023/8/20,22:51:36
2,raccoon,2023/8/21,2:04:20
2,fox,2023/8/21,23:11:42
2,raccoon,2023/8/23,15:46:34
2,raccoon,2023/8/23,16:00:21
2,raccoon,2023/8/23,16:00:21
2,raccoon,2023/8/23,16:00:21
2,rdog,2023/8/26,1:06:04
2,raccoon,2023/8/26,4:14:03
2,raccoon,2023/8/30,23:03:45
2,rdog,2023/9/16,18:11:14
2,fox,2023/9/19,18:29:43
2,fox,2023/9/26,1:06:17
2,fox,2023/9/29,14:03:17
2,fox,2023/10/2,15:20:56
2,fox,2023/10/3,17:44:17
2,fox,2023/10/8,17:51:25
2,fox,2023/10/8,21:43:09
2,fox,2023/10/10,19:43:34
2,fox,2023/10/11,17:52:44
3,raccoon,2023/6/8,11:01:53
3,raccoon,2023/6/23,7:55:05
3,raccoon,2023/6/28,14:31:13
3,raccoon,2023/7/1,21:01:12
3,raccoon,2023/7/28,16:43:09
3,raccoon,2023/7/31,0:53:00
3,raccoon,2023/8/18,22:41:15
3,raccoon,2023/8/22,14:30:06
3,rdog,2023/9/11,3:23:43
4,raccoon,2023/6/11,1:51:34
4,rdog,2023/9/11,18:24:56
4,raccoon,2023/10/13,5:03:52
5,raccoon,2023/6/30,19:43:47
5,raccoon,2023/7/12,1:21:45
5,rdog,2023/7/12,23:15:00
5,raccoon,2023/7/17,18:40:30
5,rdog,2023/8/25,20:09:03
5,rdog,2023/8/25,20:09:03
5,rdog,2023/9/6,21:03:36
5,rdog,2023/9/12,18:58:11
5,rdog,2023/10/5,20:10:45
6,raccoon,2023/6/5,20:07:29
6,raccoon,2023/6/14,19:40:19
6,raccoon,2023/6/15,2:56:51
6,raccoon,2023/6/15,15:07:19
6,raccoon,2023/6/16,12:07:07
6,raccoon,2023/6/16,17:01:02
6,raccoon,2023/6/20,11:28:33
6,raccoon,2023/6/21,23:02:35
6,raccoon,2023/6/22,16:56:10
6,raccoon,2023/6/25,7:45:45
6,raccoon,2023/6/26,20:41:51
6,raccoon,2023/6/27,21:37:10
6,raccoon,2023/6/29,21:39:04
6,raccoon,2023/7/3,4:02:44
6,raccoon,2023/7/20,16:23:17
6,raccoon,2023/8/23,22:55:48
6,raccoon,2023/9/11,19:27:37
6,raccoon,2023/9/19,1:29:26
7,raccoon,2023/6/18,13:00:50
7,raccoon,2023/7/16,20:30:34
7,raccoon,2023/7/18,17:29:17
7,rdog,2023/7/18,20:10:11
7,fox,2023/7/24,18:42:06
7,raccoon,2023/8/6,1:03:54
7,rdog,2023/8/17,23:47:13
7,raccoon,2023/8/25,22:16:28
7,raccoon,2023/8/31,17:06:04
7,raccoon,2023/8/31,17:06:04
7,raccoon,2023/8/31,17:06:04
7,raccoon,2023/8/31,18:25:25
7,raccoon,2023/9/11,1:07:37
7,rdog,2023/9/14,0:13:30
7,raccoon,2023/9/19,20:42:01
7,fox,2023/10/6,18:19:13
7,raccoon,2023/10/13,18:29:13
8,raccoon,2023/6/12,17:16:42
9,raccoon,2023/6/6,14:13:28
9,rdog,2023/6/22,23:19:33
9,raccoon,2023/7/8,18:38:31
9,fox,2023/7/12,19:16:42
9,raccoon,2023/7/24,17:38:30
9,raccoon,2023/8/7,2:30:13
9,fox,2023/8/11,2:32:32
9,raccoon,2023/8/12,0:19:40
9,raccoon,2023/8/16,18:06:23
9,raccoon,2023/8/16,18:06:23
9,raccoon,2023/8/16,18:06:23
9,raccoon,2023/8/16,18:06:23
9,raccoon,2023/8/18,2:01:30
9,raccoon,2023/8/20,0:57:15
9,raccoon,2023/8/22,21:40:30
9,raccoon,2023/8/22,21:40:30
9,raccoon,2023/8/22,21:40:30
9,raccoon,2023/8/26,21:15:54
9,raccoon,2023/8/28,19:19:13
9,raccoon,2023/8/30,19:30:19
9,raccoon,2023/9/1,0:23:29
9,raccoon,2023/9/1,20:03:43
9,raccoon,2023/9/3,4:03:32
9,fox,2023/9/5,14:33:38
9,raccoon,2023/9/8,17:23:32
9,raccoon,2023/9/8,22:44:14
9,raccoon,2023/9/8,22:44:14
9,raccoon,2023/9/10,4:28:35
9,raccoon,2023/9/10,4:28:35
9,raccoon,2023/9/10,4:28:35
9,fox,2023/9/10,19:03:05
9,raccoon,2023/9/14,22:16:41
9,fox,2023/9/17,7:56:55
9,fox,2023/9/17,18:08:25
9,raccoon,2023/9/26,17:29:59
9,raccoon,2023/9/26,17:29:59
9,raccoon,2023/10/1,0:19:37
10,raccoon,2023/7/14,22:32:56
10,fox,2023/7/17,5:16:01
10,raccoon,2023/7/19,0:08:57
10,raccoon,2023/7/21,18:29:30
10,fox,2023/7/22,1:40:31
10,raccoon,2023/7/24,3:15:26
10,fox,2023/7/24,4:02:37
10,fox,2023/7/27,3:24:05
10,fox,2023/7/28,4:14:13
10,fox,2023/7/30,20:04:35
10,fox,2023/8/1,2:29:25
10,fox,2023/8/3,8:37:02
10,raccoon,2023/8/4,1:35:28
10,raccoon,2023/8/4,17:58:21
10,raccoon,2023/8/4,17:58:21
10,raccoon,2023/8/4,17:58:21
10,raccoon,2023/8/11,0:41:18
10,raccoon,2023/8/11,10:41:28
10,raccoon,2023/8/11,10:41:28
10,raccoon,2023/8/11,10:41:28
10,raccoon,2023/8/11,10:41:28
10,raccoon,2023/8/11,10:41:28
10,raccoon,2023/8/15,20:09:06
10,raccoon,2023/9/3,18:35:15
10,raccoon,2023/9/3,18:35:15
10,raccoon,2023/9/3,18:35:15
10,fox,2023/9/11,18:45:21
10,raccoon,2023/9/16,18:38:54
10,raccoon,2023/9/16,18:38:54
10,raccoon,2023/9/17,18:23:41
10,fox,2023/10/2,4:11:32
10,raccoon,2023/10/3,22:48:52
10,raccoon,2023/10/8,2:29:31
11,fox,2023/7/16,19:18:49
11,fox,2023/7/17,17:38:09
11,fox,2023/7/18,5:46:09
11,fox,2023/7/19,2:23:51
11,raccoon,2023/7/21,14:27:07
11,fox,2023/7/21,18:22:24
11,fox,2023/7/25,0:27:17
11,fox,2023/7/29,19:37:08
11,raccoon,2023/9/12,18:28:28
11,fox,2023/9/25,18:09:23
12,fox,2023/6/10,23:42:21
12,fox,2023/6/18,20:16:03
12,raccoon,2023/6/19,12:21:47
12,raccoon,2023/6/20,21:53:40
12,raccoon,2023/6/21,2:19:03
12,raccoon,2023/6/21,19:53:53
12,fox,2023/6/23,0:17:47
12,raccoon,2023/6/23,12:51:59
12,raccoon,2023/6/25,23:57:01
12,raccoon,2023/7/2,2:21:47
12,fox,2023/7/21,3:34:22
12,raccoon,2023/7/24,21:26:51
12,raccoon,2023/7/28,21:51:28
12,raccoon,2023/7/29,19:52:45
12,fox,2023/7/31,20:08:42
12,fox,2023/8/2,20:18:41
12,raccoon,2023/8/5,22:47:15
12,raccoon,2023/8/5,22:47:15
12,raccoon,2023/8/5,22:47:15
12,raccoon,2023/8/5,22:47:15
12,raccoon,2023/8/7,20:23:41
12,fox,2023/8/11,19:03:00
12,raccoon,2023/8/14,22:46:44
12,fox,2023/8/16,19:53:33
12,raccoon,2023/8/17,23:46:59
12,raccoon,2023/8/17,23:46:59
12,raccoon,2023/8/17,23:46:59
12,raccoon,2023/8/17,23:46:59
12,fox,2023/8/26,21:04:27
12,raccoon,2023/8/27,2:23:33
12,raccoon,2023/8/27,2:23:33
12,raccoon,2023/8/27,2:23:33
12,raccoon,2023/8/27,5:38:59
12,raccoon,2023/8/27,5:38:59
12,raccoon,2023/8/27,18:51:44
12,fox,2023/8/27,22:14:50
12,fox,2023/8/28,19:12:27
12,raccoon,2023/8/29,21:25:44
12,fox,2023/8/31,2:53:13
12,fox,2023/9/1,20:21:59
12,raccoon,2023/9/4,5:28:58
12,raccoon,2023/9/4,5:28:58
12,raccoon,2023/9/4,19:22:00
12,fox,2023/9/4,21:21:33
12,fox,2023/9/5,22:00:05
12,fox,2023/9/6,1:56:43
12,raccoon,2023/9/6,23:21:32
12,raccoon,2023/9/6,23:21:32
12,fox,2023/9/7,19:53:33
12,raccoon,2023/9/13,0:09:37
12,raccoon,2023/9/16,13:30:57
12,fox,2023/9/16,18:57:49
12,fox,2023/9/20,2:09:53
12,fox,2023/9/20,18:10:34
12,raccoon,2023/10/2,21:38:18
12,raccoon,2023/10/7,0:02:05
12,raccoon,2023/10/10,3:04:17
13,fox,2023/6/20,21:58:22
13,raccoon,2023/6/27,15:33:55
13,raccoon,2023/6/29,8:30:06
13,raccoon,2023/7/7,22:20:51
13,fox,2023/7/16,23:19:04
13,raccoon,2023/7/20,0:49:41
13,raccoon,2023/7/25,10:41:36
13,raccoon,2023/7/27,20:17:12
13,raccoon,2023/8/17,17:12:45
13,raccoon,2023/9/9,17:26:07
13,raccoon,2023/9/9,17:26:07
13,raccoon,2023/9/18,19:59:59
13,raccoon,2023/9/18,19:59:59
13,fox,2023/10/7,22:09:07
14,fox,2023/7/31,1:33:13
15,raccoon,2023/6/12,22:15:52
15,raccoon,2023/6/16,7:55:57
15,raccoon,2023/9/10,1:02:11
15,raccoon,2023/9/12,2:01:34
15,raccoon,2023/10/7,18:47:08
15,raccoon,2023/10/7,22:00:38
15,rdog,2023/10/12,19:22:28
15,raccoon,2023/10/15,0:14:49
16,fox,2023/6/21,1:26:13
16,raccoon,2023/7/23,2:30:08
16,raccoon,2023/8/6,20:29:22
16,raccoon,2023/9/2,17:48:20
16,raccoon,2023/9/10,21:49:12
16,raccoon,2023/9/18,4:35:56
16,raccoon,2023/9/20,17:49:13
16,raccoon,2023/9/20,17:49:13
16,raccoon,2023/9/20,23:30:15
16,raccoon,2023/10/3,3:30:50
16,raccoon,2023/10/6,20:45:25
16,raccoon,2023/10/12,18:09:30
16,rdog,2023/10/14,19:25:02
